title,label
【科技周報】大咖趴趴走！拜登將出席台積電美國新廠上機典禮 醫療科技展施崇棠、林百里都現身 - Yahoo奇摩股市,Unchanged
彭博：台積電亞利桑那廠將提供4奈米晶片 - Yahoo奇摩股市,Unchanged
傳亞利桑那州廠計劃生產4奈米 台積電不回應 - Yahoo奇摩股市,Unchanged
《國際產業》彭博：台積電下周宣布在美生產4奈米晶片 - Yahoo奇摩股市,Unchanged
快訊／台股終場跌42.12點、失守萬五 台積電跌6元挑戰500元失利 - Yahoo奇摩新聞,Unchanged
蘋果等美國客戶敦促下，台積電計劃在美生產更多先進晶片 - Yahoo奇摩股市,Unchanged
獨／台積電待8個月領266萬？員工怒「根本沒有」大爆內幕 - Yahoo奇摩新聞,Unchanged
〈台股盤中〉台積電領漲 大盤爆量走揚收復15000點 - Yahoo奇摩新聞,Unchanged
拜登12/6參觀亞利桑那州廠 台積電：歡迎同慶 - Yahoo奇摩股市,Unchanged
《半導體》台積電站回500元攻3月高 市值重返13兆元關 - Yahoo奇摩股市,Unchanged
台積電大漲破500大關！市值重回13兆 紅盤漲破萬五 - Yahoo奇摩新聞,Unchanged
專訪｜張鈞甯受封女股神無奈喊「差遠了」 台積電沒半張買房抗通膨 - Yahoo奇摩新聞,Unchanged
台積電以機器學習優化冰水系統 拚年節電量1億度 - Yahoo奇摩新聞,Up
台積電綠色製造新進展 導入AI冰水系統「拚年節電1億度」 - Yahoo奇摩股市,Up
《台北股市》盤中焦點股：台積電、南電、力智、高僑、中環、盛達 - Yahoo奇摩股市,Up
【台股盤後】台積電翻紅 指數漲近170點創2個半月新高 - Yahoo奇摩股市,Up
台積電分紅開獎！8個月新人「狂領44個月」 - Yahoo奇摩新聞,Up
台積電分紅開獎！年資8個月新人分享：年薪飆44個月「爽領266萬」 - Yahoo奇摩新聞,Up
台積電帶供應商在美國「打群架」！ 爭取晶片法案1.6兆台幣補助 點名李長榮、長春石化也應受惠 還有這家桃園的隱形冠軍 - Yahoo奇摩股市,Up
巴菲特持股藏亮點3／短線恐有獲利賣壓 存股族拉長時間續存台積電仍有利 - Yahoo奇摩新聞,Up
綠電買台積電動作頻頻 近期投資近億元 - Yahoo奇摩新聞,Up
千名工程師包機赴美「遭指掏空台灣」…台積電回應了！施振榮也力挺全球布局 - Yahoo奇摩股市,Up
零股投資夯！台積電、0050、長榮人氣最旺前10名一次看 - Yahoo奇摩股市,Up
外派工程師赴美遭指掏空人才 台積電：沒這疑慮 - Yahoo奇摩股市,Up
台積電亞利桑那下週First tool-in，外資點名美客戶首選，但恐稀釋ROE - Yahoo奇摩股市,Unchanged
《台北股市》台積電高低拉升11.5元 台股翻紅漲百點 - Yahoo奇摩股市,Unchanged
【台股龍捲風】台積電adr有大跌嗎?那今天跌真的?跌假的?9合1後，脫口罩啦！別買錯！ - Yahoo奇摩股市,Unchanged
台積電赴美設廠，施振榮力挺，認長期將創造台灣更大的總價值 - Yahoo奇摩股市,Unchanged
《台北股市》台積電開低12元 台股同步回測5日線 - Yahoo奇摩股市,Unchanged
快訊／台積電跌12元至486元 台股跌逾百點 - Yahoo奇摩新聞,Unchanged
大選落幕台股「重挫逾220點」 台積電慘跌 - Yahoo奇摩新聞,Unchanged
《台北股市》盤中焦點股：台積電、視陽、創源、杭特、晶睿、一詮 - Yahoo奇摩股市,Unchanged
選後慶祝行情落空 台股一度大跌233點 台積電500元關前止步 - Yahoo奇摩股市,Unchanged
台積電深耕台灣 擴大北中南布局 - Yahoo奇摩股市,Down
延聘蔣尚義 郭台銘：鴻海發展半導體不複製台積電 - Yahoo奇摩股市,Down
外資也面臨囚犯兩難！買超第1名不是台積電 - Yahoo奇摩股市,Down
「台積電掏空台灣、被美國綁架，張忠謀喊救命」…謝金河嘆：別人愛台灣，我們怎麼忍心倒踢一腳？ - Yahoo奇摩股市,Down
超微狠漲25％！陸行之喊「厲害了」 點名台積電、景碩受惠 - Yahoo奇摩新聞,Down
台積電ADR23日下跌0.57美元跌幅0.69%折台股511.79元 - Yahoo奇摩股市,Down
《台北股市》台積電開高 台股向14700挺進 - Yahoo奇摩股市,Up
【盤中熱點】美時成交值直逼台積電，隱眼、面板表現強勢，市場戲稱因阿根廷輸給沙烏地阿拉伯 - Yahoo奇摩新聞,Up
外資布局金融股 加碼聯電台積電 - Yahoo奇摩股市,Up
巴菲特大買台積電ADR！跟2330台積電有什麼關係？GDR、TDR…3分鐘認識DR股！ - Yahoo奇摩新聞,Up
《盤後解析》台積電領攻半年線 類股輪漲將朝萬五挺進 - Yahoo奇摩股市,Up
台股開盤／台積電下挫6元以476元開出！台股下跌45.31點 - Yahoo奇摩新聞,Up
科技業陷景氣陰霾 學者：台積電成產業鏈最後防線 - Yahoo奇摩股市,Up
【台股盤後】台積電回神 收漲92點站上14500點 - Yahoo奇摩股市,Unchanged
台積電亞利桑那廠晶片 庫克：蘋果全包了 - Yahoo奇摩股市,Unchanged
《科技》「台版晶片法案」獨厚台積電？王美花釋疑 - Yahoo奇摩股市,Unchanged
台積電：高雄廠動工 2024年如期量產 - Yahoo奇摩股市,Unchanged
快訊／台股終場下跌55.6點、失守14500 台積電翻黑 - Yahoo奇摩新聞,Unchanged
台積電徵才職缺名單全曝！「這網址」一鍵申請 - Yahoo奇摩新聞,Unchanged
高通處理器訂單回流 法人：支撐台積電4奈米需求 - Yahoo奇摩股市,Unchanged
《經濟》傳兩大龍頭找台積電下單 王美花：盼車用晶片設計獲國際地位 - Yahoo奇摩股市,Unchanged
1分鐘讀財經》台積電狂飆成逃命波！股東數大減散戶不玩了 - Yahoo奇摩新聞,Unchanged
台積電大徵才！一鍵「傳送門」爽領高薪、職缺全曝光 - Yahoo奇摩新聞,Unchanged
台積電搶才！「技術員」招募面談會起跑 北中南都有機會 - Yahoo奇摩新聞,Unchanged
外資上周買超台股782.75億元 回補聯電13.7萬張比台積電多！ - Yahoo奇摩股市,Unchanged
《台北股市》台積電熄火 台股觀望卡關半年線 - Yahoo奇摩股市,Unchanged
張忠謀證實！台積電「最先進3奈米」將前進美國 - Yahoo奇摩新聞,Unchanged
跟進巴菲特 買不起台積電還有7檔高「含積量」ETF - Yahoo奇摩股市,Unchanged
《基金》巴菲特加持台積電 半導體ETF展笑顏 - Yahoo奇摩股市,Unchanged
【科技周報】股神巴菲特入手台積電！科技股吹國際風劉揚偉登G20演講 - Yahoo奇摩股市,Unchanged
《台北股市》盤中焦點股：台積電、祥碩、金像電、南亞科、元太、技嘉 - Yahoo奇摩股市,Unchanged
外媒：台積電亞利桑那州廠恐怕只是蘋果宣傳手段 - Yahoo奇摩股市,Unchanged
台股終場跌30點、守14500關卡 台積電護盤收487元 - Yahoo奇摩新聞,Unchanged
獨家／台積電大漲31%還會繼續噴？專家曝「巴菲特買進成本價」 - Yahoo奇摩新聞,Unchanged
攤平or攤貧？台積電買在688 心酸問「到底什麼時候要攤平」 - Yahoo奇摩新聞,Unchanged
外資搶進台積電9669張 4天買超台股近1330億元 - Yahoo奇摩股市,Unchanged
「網球一姐」謝淑薇懂買台積電！爽PO對帳單「成本價曝光」網跪了 - Yahoo奇摩新聞,Unchanged
台積電供應鏈旺到年底 - Yahoo奇摩股市,Unchanged
《台北股市》大立光重登股王 台積電熄火 台股早盤小跌 - Yahoo奇摩股市,Unchanged
這次換大立光快漲停！急漲9%奪回股王寶座 台積電暫歇 - Yahoo奇摩股市,Unchanged
「台版晶片法案」政院版拍定 台積電：繼續投資台灣、樂觀其成 - Yahoo奇摩股市,Unchanged
台股漲多震盪收小黑，台積電、矽智財是多頭指標 - Yahoo奇摩股市,Unchanged
《半導體》台積電月線乖離大 等待趨勢穩定 - Yahoo奇摩股市,Unchanged
台積電大搶才！砸錢辦「免費」菁英營、限額60名參加 - Yahoo奇摩新聞,Unchanged
《國際產業》台積電吸力強 橋水也回頭 - Yahoo奇摩股市,Up
《半導體》台積電設備博覽會 秀逾70件創新成果 - Yahoo奇摩股市,Up
「台積電成功嶺」首曝光！VR、AI、自動化等組合高良率成功密碼 - Yahoo奇摩股市,Up
《台北股市》盤中焦點股：台積電、華擎、麗臺、綠電、材料、京晨科 - Yahoo奇摩股市,Up
台積電設備博覽會 展示逾70件工程師創新作品 - Yahoo奇摩股市,Up
《產業》台積電高雄廠生變？高市府：2024年營運目標不變 - Yahoo奇摩股市,Up
美限晶令下，全球最大對沖基金橋水Q3首次入手台積電ADR近21萬股 - Yahoo奇摩股市,Up
傳產龍頭＋台積電續漲，台股向半年線挺進 - Yahoo奇摩股市,Up
巴菲特的波克夏買進台積電ADR！Q3大買41億美元 - Yahoo奇摩股市,Up
熱門股：台積電(2330)、中砂(1560)、漢磊(3707)、保瑞(6472)、辛耘(3583) - Yahoo奇摩股市,Up
《台北股市》美通膨降溫續漲 台積電領軍再攻百點 - Yahoo奇摩股市,Up
《台北股市》盤中焦點股：台積電、第一銅、寶成、中租、英業達、裕隆 - Yahoo奇摩股市,Up
市場消化通膨數據 美股道瓊跌逾百點 台積電ADR漲超3％ - Yahoo奇摩新聞,Up
外資買超488億史上第3大 回補台積電4.57萬張 - Yahoo奇摩股市,Up
高雄7奈米廠生變？台積電坦言「暫時延後」但不改變製程 - Yahoo奇摩新聞,Up
台積電高雄7奈米廠暫緩？魏哲家：僅延後「未改製程」 - Yahoo奇摩股市,Up
外資回補 台積電站上440元 魏哲家證實：高雄7奈米廠確定延後 - Yahoo奇摩新聞,Up
《台北股市》盤中焦點股：台積電、聯電、藥華藥、聯發科、欣興、南電 - Yahoo奇摩股市,Up
《半導體》美國再建3奈米新廠？台積電這麼說 - Yahoo奇摩股市,Up
快訊／台積電罕發聲明曝：亞利桑那州廠最新進度 - Yahoo奇摩新聞,Up
《台北股市》盤中焦點股：台積電、聯發科、智擎、啟碁、長榮、萬海 - Yahoo奇摩股市,Up
台積電10月營收2102億「歷史次高」 連3個月維持2000億元之上 - Yahoo奇摩股市,Up
台積電10月營收較9月微增1%，較去年同期大增逾五成，估Q4業績略增 - Yahoo奇摩股市,Up
《台北股市》美股壓回 台積電開低8元 台股守13500點 - Yahoo奇摩股市,Up
《國際產業》華爾街日報：台積電將在亞利桑那州再建3奈米廠 - Yahoo奇摩股市,Up
《產業》在地立委爆台積電高雄廠恐「暫緩」？王美花嚇一跳：會去了解 - Yahoo奇摩股市,Up
一掃近半個月頹靡走勢 台積電跳空收復400元失土 - Yahoo奇摩新聞,Up
台積電第2代4奈米製程助攻天璣9200！聯發科大漲半根上演慶祝行情 - Yahoo奇摩新聞,Up
日本富士通投入2奈米製程晶片設計 將委託台積電代工生產 - Yahoo奇摩股市,Up
權證市場焦點－台積電 股價大反攻 - Yahoo奇摩股市,Up
【公告】台積電董事會核准增加投資Emerging Fund L.P. - Yahoo奇摩股市,Up
聯發科採台積電第二代4奈米旗艦型5G晶片天璣9200問世，手機年底上市 - Yahoo奇摩股市,Up
《半導體》台積電明年資本支出續降是利空？ 外資不這麼想 - Yahoo奇摩股市,Up
台積電先進製程能見度看到2奈米 股價重回400元穩住半導體族群陣腳 - Yahoo奇摩股市,Up
台積電第三季股息每股配2.75元「七連莊」 明年3/16除息 - Yahoo奇摩股市,Up
《台北股市》盤中焦點股：台積電、聯詠、瑞軒、晶睿、奇偶、高力 - Yahoo奇摩股市,Up
日經：台積電熊本設廠 帶動半導體業者赴當地投資 - Yahoo奇摩新聞,Up
台股連三日量增反彈，台積電明日叩關400元，台股終場漲逾百點 - Yahoo奇摩股市,Up
台積電ADR7日上漲0.28美元漲幅0.45%折台股402.69元 - Yahoo奇摩股市,Up
外資狂殺台積電、釀非理性下跌！楊應超：美中晶片戰爭下，台灣還有這些機會 - Yahoo奇摩股市,Up
投下信任票！力旺獲台積電今年度OIP年度合作夥伴獎 - Yahoo奇摩股市,Up
1分鐘讀財經》台積電5奈米爆「產能鬆動」危機？真相曝光嚇一跳 - Yahoo奇摩股市,Up
《盤前掃瞄-國內消息》台積電5奈米爆單；電信三雄備戰低軌衛星釋照 - Yahoo奇摩股市,Up
《各報要聞》美陸股強彈、台積電ADR大漲…台股本周續吹反攻號 - Yahoo奇摩股市,Up
傳台積電1奈米落腳桃園 經部盤整擴大水電供應 - Yahoo奇摩股市,Up
《金融》新台幣升逾1角 台積電拚登月 - Yahoo奇摩股市,Up
獨家／台積電破底抓反彈？老股東曝「黃金區間」快搶就對了 - Yahoo奇摩新聞,Up
技嘉浸沒式液冷伺服器攻入歐美日與台積電，明年技鋼成立業績拚增2-3成 - Yahoo奇摩股市,Up
《半導體》台積電11月16日受邀海外法說 - Yahoo奇摩股市,Up
【科技周報】台積電率團赴美「拜登將出席」？供應鏈更關注1奈米落腳龍潭 - Yahoo奇摩股市,Up
台積電「美籍員工」結訓返美！鄉民歡呼：巨嬰終於走了 - Yahoo奇摩新聞,Up
快訊／台積電跌3元至381元！台股跌逾80點 拚守12900關卡 - Yahoo奇摩新聞,Up
SEMI宣布成立半導體氣候聯盟 台灣台積電、日月光等5企業入列創始會員 - Yahoo奇摩股市,Up
台積電早盤股價跌4元 市值降至9.85兆元 - Yahoo奇摩股市,Unchanged
《台北股市》台積電9合1選後還有低點 老手:這2種半導體股先別碰 - Yahoo奇摩股市,Unchanged
透視台積電大戰略 3DFabric聯盟搶頭香 - Yahoo奇摩股市,Unchanged
傳台積電亞利桑那phase two繼續建，無塵室等廠務與設備供應商受惠 - Yahoo奇摩股市,Unchanged
10月Yahoo奇摩股市熱搜榜單出爐！台積電對折吸引買氣 鴻海科技日人氣十足 權值股重新霸榜 - Yahoo奇摩股市,Unchanged
台積電早盤股價跌10.5元 市值面臨10兆元保衛戰 - Yahoo奇摩股市,Unchanged
快訊／美股重挫500點！台股殺近200點 台積電大跌10元至385元 - Yahoo奇摩新聞,Unchanged
逢高倒貨？八大官股券商連3天賣超台股 台積電遭狂賣10億 - Yahoo奇摩股市,Unchanged
台積電美國廠12月舉行移機典禮 將切入3奈米製程 - Yahoo奇摩新聞,Unchanged
美股主要股指開高 道瓊漲逾百點 台積電ADR漲超2％ - Yahoo奇摩新聞,Unchanged
台積電美國廠「首批機台移機典禮」 傳拜登將出席 - Yahoo奇摩股市,Up
台積電投資桃園？經濟部：最適合半導體發展 將協助設廠 - Yahoo奇摩新聞,Up
台積電赴美設廠 首架包機直飛鳳凰城 - Yahoo奇摩股市,Up
【台股盤中】台積電由黑翻紅航運上揚 逼近13100點 - Yahoo奇摩股市,Up
台積電股價揚升3.5元 台股上漲62.96點登13100點 - Yahoo奇摩股市,Up
【台股盤後】台積電翻紅 收漲62點重登13100點 - Yahoo奇摩股市,Up
砍單市場不怕？傳美國廠機台12月送到 台積電尾盤爆神秘大量翻紅台股穩萬3 - Yahoo奇摩新聞,Up
美國廠12月辦移機典禮 拜登受邀參加？台積電說話了 - Yahoo奇摩股市,Up
台積電、聯發科領軍，台股向月線反攻 - Yahoo奇摩股市,Up
魏哲家鼓勵員工「多休假」，躲不過半導體風暴？台積電說話了 - Yahoo奇摩股市,Up
台積電1奈米落腳桃園？竹科：龍潭園區出租率達99%「已無可供土地」 - Yahoo奇摩股市,Up
台積電證實12月美新廠「首批設備到廠」 將邀客戶、供應鏈、政府代表等同慶 - Yahoo奇摩股市,Up
快訊／台積電小跌1.5元！台股震盪跌逾40點 面臨十日線攻防戰 - Yahoo奇摩新聞,Up
台積電早盤下挫4元 市值面臨10兆元大關保衛戰 - Yahoo奇摩股市,Up
《台北股市》台積電暫熄火 台股萬三關前震盪 - Yahoo奇摩股市,Up
隔空稽核！台積電導入MR技術 客戶遠端觀察廠內運作 - Yahoo奇摩股市,Up
台積電晶圓傳送盒清洗機台100%回收熱水，Q3導入晶圓十二B廠使用 - Yahoo奇摩股市,Up
台積電啟動竹科再生水專案 3年後日供萬噸給2奈米新廠 - Yahoo奇摩股市,Up
【台股盤中】重返12900點 台積電聯發科領漲 - Yahoo奇摩股市,Up
《台北股市》盤中焦點股：聯發科、國巨、台積電、鴻海、茂林-KY - Yahoo奇摩股市,Up
股市攻略》業績大好股價卻持續下跌 台積電正面臨地緣政治及景氣循環雙重考驗 - Yahoo奇摩股市,Up
《半導體》台積電反彈 市值重返10兆元 - Yahoo奇摩股市,Up
《半導體》抄底台積電？外資揭谷底價 - Yahoo奇摩股市,Unchanged
科技冷戰最前線！外媒曝：台積電陷美台爭奪中心 - Yahoo奇摩新聞,Unchanged
〈焦點股〉台積電成立首個3DIC聯盟 ASIC族群跌深反彈 - Yahoo奇摩新聞,Unchanged
《台北股市》台積電熄火 台股開低守5日線 - Yahoo奇摩股市,Unchanged
外資回頭買超台股百億 連2天買超台積電 - Yahoo奇摩股市,Unchanged
美系外資認為台積電股價跌過頭，給予優於大盤評等，目標價720元 - Yahoo奇摩股市,Unchanged
台積電回神股價續彈 台股拚站穩5日線 - Yahoo奇摩股市,Unchanged
台積電成立3DFabric聯盟 美光等19合作夥伴加入 - Yahoo奇摩新聞,Unchanged
【台股盤中】台積電領軍 指數漲逾200點站上10日線 - Yahoo奇摩股市,Unchanged
說「多休假」太沈重！台積電深夜急回應：沒有強迫休假或放無薪假計畫 - Yahoo奇摩股市,Unchanged
《盤前掃瞄-基本面》聯電公告最強Q3；台積電聲明未強迫員工休假 - Yahoo奇摩股市,Unchanged
台積電聲明未強迫員工休假 沒有無薪假計畫 - Yahoo奇摩股市,Up
美晶片禁令發酵！陸廠遭台積電斷貨重創：驚傳裁員3成 - Yahoo奇摩新聞,Up
太愛航運股 中環子公司又買長榮2330張 - Yahoo奇摩新聞,Up
經歷台積電大跌！股民曝「不只虧54萬」 驚喊：人都不見了 - Yahoo奇摩新聞,Up
《台北股市》盤中焦點股：台積電、創惟、偉詮電、中砂、友達、祥碩 - Yahoo奇摩股市,Up
台積電深夜聲明釋疑 早盤勁揚10元市值重登10兆元 - Yahoo奇摩股市,Up
快訊／台積電帶頭反攻！漲8.5元至384.5元 台股漲175點重返12900關卡 - Yahoo奇摩新聞,Up
外資回補台積電、金融股 大砍聯電3.1萬餘張 - Yahoo奇摩新聞,Up
【台股盤後】站回12700點 台積電金融股領漲 - Yahoo奇摩股市,Up
台積電暴跌46%！分析師曝「2大死穴」 投資人全嚇壞 - Yahoo奇摩新聞,Up
小資族視角看台股！「2330台積電」進場退場 2分鐘教你 - Yahoo奇摩新聞,Unchanged
台積電鼓勵休假引聯想 魏哲家強調成長趨勢不變 - Yahoo奇摩股市,Unchanged
"《台北股市》台積電領台股再破底 跌破32年高點12,682點 - Yahoo奇摩股市",Unchanged
"台積電領台股再破底 跌破32年高點12,682點 - Yahoo奇摩股市",Unchanged
台積電股價續破底 總裁魏哲家發信「鼓勵員工多休假」 - Yahoo奇摩新聞,Unchanged
【台股盤中】台積電殺逾3% 指數一度跌逾200點破底 - Yahoo奇摩股市,Unchanged
台積電探380元創兩年新低價 台股早盤小跌 - Yahoo奇摩股市,Unchanged
台積電罕見發內部信「鼓勵員工休假」 不包括3奈米製程 - Yahoo奇摩新聞,Unchanged
快訊／台股開盤慘跌26.69點 台積電續跌6元 - Yahoo奇摩新聞,Unchanged
快訊／台股萬三得而復失！台積電翻黑收387元 - Yahoo奇摩新聞,Unchanged
〈台股盤中〉台積電上攻有壓 萬三無功而返 - Yahoo奇摩股市,Unchanged
台積電、聯電高階主管員工配股比一比 誰略勝一籌？ - Yahoo奇摩新聞,Down
台股止穩台積電、矽力扮要角 - Yahoo奇摩新聞,Down
上周外資賣超台股近439億元 神山台積電遭賣5.4萬張位居第一 - Yahoo奇摩股市,Unchanged
魏哲家設質股票1600張「抄底」？ 台積電股價收今日最低 - Yahoo奇摩股市,Unchanged
台積電7奈米產能鬆動 市調：5G手機處理器庫存調整 - Yahoo奇摩股市,Unchanged
台積電本週股價下挫22.5元 市值縮水5834億元 - Yahoo奇摩股市,Unchanged
總裁魏哲家質設1600張股票 台積電不回應 - Yahoo奇摩股市,Unchanged
集邦：台積電明年營收估增7-9%、全球晶圓代工產值年增2.7% - Yahoo奇摩股市,Unchanged
《台北股市》台積電上演破底逆轉秀 神祕買盤還加碼這10檔 - Yahoo奇摩股市,Down
《台北股市》台積電開低 台股壓回12900點之下 - Yahoo奇摩股市,Down
台積電總裁設質1600張股票 網瘋猜：準備抄底？ - Yahoo奇摩新聞,Down
台積電總裁設質1600張股票！股民狂問能買了？專家搖頭：要等3大訊號 - Yahoo奇摩新聞,Down
集邦：晶圓代工明年產值看增2.7% 台積電成長力撐 - Yahoo奇摩股市,Down
《半導體》中美緊張關係升級 台積電擬擴大在日本設廠業務 - Yahoo奇摩股市,Down
百萬套牢族哭！台積電跌回起漲點「重回688要20年？」 專家給答案！ - Yahoo奇摩股市,Down
《盤中解析》三王弱台股下探12700 台積電止跌是關鍵 - Yahoo奇摩股市,Down
台積電跌到386元「骨折還有更骨折價」 超級韭菜Joeman算命成真曝現況：要聽勸，別像我一樣 - Yahoo奇摩股市,Down
台積電疲弱，萬三再度失守，留意Q3財報亮眼股 - Yahoo奇摩股市,Down
外資賣超121.27億元 調節台積電居冠 - Yahoo奇摩股市,Down
國泰股利精選30指數成分股增刪各11檔 台積電遭剔除 - Yahoo奇摩股市,Down
不畏美晶片管制 台積電董座劉德音要大家放心：會好好發展半導體！ - Yahoo奇摩新聞,Down
《台北股市》台積電殺到387元 台股同步破前低 - Yahoo奇摩股市,Down
實現元宇宙，台積電認為半導體效能與技術需要精進十倍 - Yahoo奇摩股市,Down
WSJ：台積電擬擴大在日產能 降低地緣政治風險 - Yahoo奇摩股市,Down
台積電的賣單去哪了？ 分析師揭二大族群來接棒 - Yahoo奇摩股市,Down
台積電股價再破底下探387元 市值10兆元保衛戰 - Yahoo奇摩股市,Down
《盤後解析》台積電強甩尾 台股回測5年線再拉長下影線 - Yahoo奇摩股市,Down
【台股盤後】失守萬三關卡 台積電跌破400元 - Yahoo奇摩股市,Down
台積電及金融族群偏弱，台股失守13000點支撐 - Yahoo奇摩股市,Down
美中晶片割喉戰2／美兵推台積電「先撤工程師再炸廠」？ 台灣矽盾靠2奈米 - Yahoo奇摩新聞,Down
